44.151.38.1 / 32	Isère - PA0KKV
44.151.38.2 / 32	Isère - F1UBF
44.151.38.6 / 32	Isère - F5PUY
44.151.38.8 / 32	Isère - F1PFC
44.151.38.9 / 32	Isère - F1PFC-1
44.151.38.17 / 32	Isère - F4JHD
44.151.38.30 / 32	Isère - F1RMB-2
44.151.38.31 / 32	Isère - F1RMB-3
44.151.38.33 / 32	Isère - F1RMB
44.151.38.34 / 32	Isère - F1RMB-4
44.151.38.37 / 32	Isère - F1RMB-5
44.151.38.38 / 32	Isère - F1RMB-1
44.151.38.39 / 32	Isère - F1RMB-6
44.151.38.40 / 32	Isère - F1RMB-7
44.151.38.41 / 32	Isère - F1BLZ
44.151.38.42 / 32	Isère - F1BLZ-1
44.151.38.44 / 32	Isère - F1BFF
44.151.38.45 / 32	Isère - F1BFF-1
44.151.38.46 / 32	Isère - F1BFF-2
44.151.38.47 / 32	Isère - F1IJP
44.151.38.48 / 32	Isère - F1IJP-1
44.151.38.49 / 32	Isère - F1IJP-2
44.151.38.50 / 32	Isère - F1IJP-3
44.151.38.51 / 32	Isère - F1IJP-4
44.151.38.52 / 32	Isère - F1IJP-5
44.151.38.53 / 32	Isère - F1IJP-6
44.151.38.54 / 32	Isère - F1IJP-7
44.151.38.55 / 32	Isère - F1IJP-8
44.151.38.56 / 32	Isère - F1IJP-9
44.151.38.70 / 32	Isère - F1JKY
44.151.38.71 / 32	Isère - F1JKY-1
44.151.38.72 / 32	Isère - F1JKY-2
44.151.38.73 / 32	Isère - F1JKY-3
44.151.38.74 / 32	Isère - F1JKY-4
44.151.38.75 / 32	Isère - F1JKY-5
44.151.38.76 / 32	Isère - F1JKY-6
44.151.38.77 / 32	Isère - F1JKY-7
44.151.38.78 / 32	Isère - F1JKY-8
44.151.38.79 / 32	Isère - F1JKY-9
44.151.38.80 / 32	Isère - ARRAD
44.151.38.81 / 32	Isère - ARRAD-1
44.151.38.82 / 32	Isère - ARRAD-2
44.151.38.83 / 32	Isère - ARRAD-3
44.151.38.84 / 32	Isère - ARRAD-4
44.151.38.85 / 32	Isère - ARRAD-5
44.151.38.86 / 32	Isère - ARRAD-6
44.151.38.87 / 32	Isère - ARRAD-7
44.151.38.88 / 32	Isère - ARRAD-8
44.151.38.89 / 32	Isère - ARRAD-9
44.151.38.90 / 32	Isère - F6AZZ
44.151.38.91 / 32	Isère - F6AZZ-1
44.151.38.98 / 32	Isère - F6DXG-1
44.151.38.99 / 32	Isère - F6DXG-2
44.151.38.100 / 32	Isère - F4IHB
44.151.38.112 / 32	Isère - F4HTQ
44.151.38.113 / 32	Isère - F4HTQ-2
44.151.38.128 / 32	Isère - F5KGA
44.151.38.129 / 32	Isère - F5KGA-1
44.151.38.130 / 32	Isère - F5KGA-2
44.151.38.131 / 32	Isère - F5KGA-3
44.151.38.132 / 32	Isère - F5KGA-4
44.151.38.133 / 32	Isère - F5KGA-5
44.151.38.134 / 32	Isère - F5KGA-6
44.151.38.135 / 32	Isère - F5KGA-7
44.151.38.136 / 32	Isère - F5KGA-8
44.151.38.137 / 32	Isère - F5KGA-9
44.151.38.138 / 32	Isère - F5KGA-10
44.151.38.139 / 32	Isère - F5KGA-11
44.151.38.140 / 32	Isère - F5KGA-12
44.151.38.141 / 32	Isère - F5KGA-13
44.151.38.142 / 32	Isère - F5KGA-14
44.151.38.143 / 32	Isère - F5KGA-15
44.151.38.170 / 32	Isère - F4HKA
44.151.38.171 / 32	Isère - F4HKA-1
44.151.38.180 / 32	Isère - F4DVG
44.151.38.181 / 32	Isère - F4DVG-1
44.151.38.182 / 32	Isère - F4DVG-2
44.151.38.183 / 32	Isère - F4DVG-3
44.151.38.184 / 32	Isère - F4DVG-4
44.151.38.185 / 32	Isère - F4DVG-5
44.151.38.186 / 32	Isère - F4DVG-6
44.151.38.187 / 32	Isère - F4DVG-7
44.151.38.188 / 32	Isère - F4DVG-8
44.151.38.189 / 32	Isère - F4DVG-9
44.151.38.190 / 32	Isère - F4HVX
44.151.38.191 / 32	Isère - F4HVX-1
44.151.38.192 / 32	Isère - F1CXG
44.151.38.193 / 32	Isère - F1CXG-1
44.151.38.194 / 32	Isère - F1CXG-2
44.151.38.195 / 32	Isère - F1CXG-3
44.151.38.200 / 32	Isère - F4AII
44.151.38.201 / 32	Isère - F4AII-1
44.151.38.202 / 32	Isère - F4AII-2
44.151.38.203 / 32	Isère - F4AII-3
44.151.38.204 / 32	Isère - F4AII-4
44.151.38.205 / 32	Isère - F4AII-5
44.151.38.206 / 32	Isère - F4AII-6
44.151.38.207 / 32	Isère - F4AII-7
44.151.38.208 / 32	Isère - F4AII-8
44.151.38.209 / 32	Isère - F4AII-9
44.151.38.210 / 32	Isère - F4AII-10
44.151.38.211 / 32	Isère - F4AII-11
44.151.38.212 / 32	Isère - F4AII-12
44.151.38.213 / 32	Isère - F4AII-13
44.151.38.214 / 32	Isère - F4AII-14
44.151.38.215 / 32	Isère - F4AII-15
44.151.38.216 / 32	Isère - F4AII-16
44.151.38.217 / 32	Isère - F4AII-17
44.151.38.218 / 32	Isère - F4AII-18
44.151.38.219 / 32	Isère - F4AII-19
44.151.38.220 / 32	Isère - F4HVV
44.151.38.221 / 32	Isère - F4HVV-1
44.151.38.222 / 32	Isère - F4HVV-2
44.151.38.223 / 32	Isère - F4HVV-3
44.151.38.230 / 32	Isère - F4FHH
